 ========================= Reacciones ========================= 

 Extremo izquierdo:  
 H_A = 3.6562e-010kN   V_A = 3.4619e+001kN   M_A = 0.0000e+000kNm  
 Extremo derecho:  
 H_B = 0.0000e+000kN   V_B = 3.1752e+001kN   M_B = 0.0000e+000kNm  

 =================== Desplazamientos y Giros =================== 

 Nodo	Desp. Horizontal [cm]	Desp. Vertical [cm] Giro [rad] 
  1  			0.00				0.00	          -0.17557 
  2  			3.24				-0.15	          -0.17548 
  3  			6.45				-0.61	          -0.17502 
  4  			9.53				-1.33	          -0.16749 
  5  			12.39				-2.30	          -0.15945 
  6  			15.01				-3.46	          -0.15063 
  7  			17.36				-4.77	          -0.14080 
  8  			19.42				-6.19	          -0.12980 
  9  			21.18				-7.65	          -0.11751 
  10  			22.62				-9.10	          -0.10388 
  11  			23.76				-10.47	          -0.08889 
  12  			24.60				-11.71	          -0.07256 
  13  			25.18				-12.74	          -0.05498 
  14  			25.52				-13.51	          -0.03624 
  15  			25.67				-13.97	          -0.01649 
  16  			25.71				-14.15	          -0.00305 
  17  			25.70				-14.08	          0.01001 
  18  			25.69				-13.78	          0.02252 
  19  			25.71				-13.26	          0.03428 
  20  			25.81				-12.53	          0.04513 
  21  			26.02				-11.63	          0.05490 
  22  			26.37				-10.59	          0.06343 
  23  			26.87				-9.45	          0.07063 
  24  			27.53				-8.26	          0.07638 
  25  			28.35				-7.06	          0.08063 
  26  			29.31				-5.90	          0.08337 
  27  			30.41				-4.80	          0.08463 
  28  			31.61				-3.79	          0.08446 
  29  			32.94				-2.88	          0.08964 
  30  			34.42				-2.06	          0.09363 
  31  			36.03				-1.34	          0.09650 
  32  			37.73				-0.77	          0.09836 
  33  			39.51				-0.35	          0.09939 
  34  			41.33				-0.09	          0.09980 
  35  			43.18				0.00	          0.09989 

 ================= Solicitaciones en la estructura ================= 

 Elemento	   Directa [kN]	 Cortante [kN]	 Momento [kNm] 
 1 izq. 		-33.48			1.55			-0.00 
 1 der. 		-33.48			1.55			-0.29 
 2 izq. 		-30.99			4.32			-0.29 
 2 der. 		-30.99			4.32			-1.09 
 3 izq. 		-34.32			2.93			-11.09 
 3 der. 		-34.32			2.93			-11.63 
 4 izq. 		-31.80			5.38			-11.64 
 4 der. 		-31.80			5.38			-12.63 
 5 izq. 		-29.14			7.40			-12.64 
 5 der. 		-29.14			7.40			-14.00 
 6 izq. 		-26.39			8.98			-14.01 
 6 der. 		-26.39			8.98			-15.66 
 7 izq. 		-23.62			10.12			-15.67 
 7 der. 		-23.62			10.12			-17.54 
 8 izq. 		-20.88			10.84			-17.54 
 8 der. 		-20.88			10.84			-19.54 
 9 izq. 		-18.23			11.16			-19.54 
 9 der. 		-18.23			11.16			-21.60 
 10 izq. 		-15.70			11.08			-21.61 
 10 der. 		-15.70			11.08			-23.65 
 11 izq. 		-13.36			10.66			-23.66 
 11 der. 		-13.36			10.66			-25.63 
 12 izq. 		-11.24			9.91			-25.63 
 12 der. 		-11.24			9.91			-27.46 
 13 izq. 		-9.38			8.88			-27.46 
 13 der. 		-9.38			8.88			-29.10 
 14 izq. 		-7.82			7.60			-29.10 
 14 der. 		-7.82			7.60			-30.50 
 15 izq. 		-7.67			-2.34			-20.50 
 15 der. 		-7.67			-2.34			-20.07 
 16 izq. 		-7.54			-3.82			-20.07 
 16 der. 		-7.54			-3.82			-19.37 
 17 izq. 		-7.76			-5.32			-19.37 
 17 der. 		-7.76			-5.32			-18.38 
 18 izq. 		-8.32			-6.80			-18.38 
 18 der. 		-8.32			-6.80			-17.13 
 19 izq. 		-9.22			-8.20			-17.13 
 19 der. 		-9.22			-8.20			-15.61 
 20 izq. 		-10.45			-9.47			-15.61 
 20 der. 		-10.45			-9.47			-13.86 
 21 izq. 		-11.98			-10.57			-13.86 
 21 der. 		-11.98			-10.57			-11.91 
 22 izq. 		-13.80			-11.44			-11.91 
 22 der. 		-13.80			-11.44			-9.80 
 23 izq. 		-15.87			-12.06			-9.79 
 23 der. 		-15.87			-12.06			-7.57 
 24 izq. 		-18.17			-12.37			-7.57 
 24 der. 		-18.17			-12.37			-5.28 
 25 izq. 		-20.65			-12.35			-5.28 
 25 der. 		-20.65			-12.35			-3.00 
 26 izq. 		-23.27			-11.96			-3.00 
 26 der. 		-23.27			-11.96			-0.79 
 27 izq. 		-25.98			-11.17			-0.78 
 27 der. 		-25.98			-11.17			1.28 
 28 izq. 		-14.31			-9.80			-8.72 
 28 der. 		-14.31			-9.80			-6.91 
 29 izq. 		-17.09			-9.52			-6.90 
 29 der. 		-17.09			-9.52			-5.15 
 30 izq. 		-19.92			-8.80			-5.14 
 30 der. 		-19.92			-8.80			-3.52 
 31 izq. 		-22.75			-7.62			-3.51 
 31 der. 		-22.75			-7.62			-2.11 
 32 izq. 		-25.51			-6.00			-2.10 
 32 der. 		-25.51			-6.00			-0.99 
 33 izq. 		-28.15			-3.93			-0.99 
 33 der. 		-28.15			-3.93			-0.27 
 34 izq. 		-30.61			-1.42			-0.26 
 34 der. 		-30.61			-1.42			-0.00 

